District,School,Date(s) of Collection,First Day of School (2026-27),SIS/Scheduling Software,Days before start of school schedules are available (Latest possible day),Named Arena Selection Process,Preliminary/Unofficial Schedule Before Summer,Teacher Request Allowed,Days after start of school to submit schedule changes (Earliest possible deadline),Disallowed Reason - To be with a friend,Disallowed Reason - Teacher Changes,Disallowed Reason - Different Lunch period,Disallowed Reason - Elective Change,Disallowed Reason - Dropping an application course after a student has been accepted and enrolled,Disallowed Reason - Dropped Course,Disallowed Reason - Changing between AP and IB,Disallowed Reason - Changing of a privilege period,Disallowed Reason - Improving GPA,AP/Honors/Advanced Level-Down Allowed,Level-Down Deadline/Trigger - End of first 6 weeks,Level-Down Deadline/Trigger - End of first semester,Level-Down Deadline/Trigger - Automatic if Failing After 6 weeks,Level-Down Deadline/Trigger - Teacher Initiated,Reason - Change needed for graduation,Reason - Already completed credit,Reason - Missing/Failed Prerequisites,"Reason - Incomplete Schedule, Duplicate Classes, or other Schedule Error","Reason - Balancing Class Loads, or other School Need",Reason - Did not apply / enrolled by mistake,Reason - Add/Drop Athletics/Performing Arts,Reason - Alignment with College Admission Requirements,Reason - Change Needed to Complete an Endorsement,Reason - Needs Placement in Special Education,"Reason - 504 plan, or ESL/ELL services",Reason - Adjustment for Medical/Physical Health,Reason - Relevant Credit earned in Summer School,Reason - Student Elected or Assigned to Conflicting Activity by the Administration,Reason - Remedial Coursework Needed for State Assessment,Reason - Previously Failed Class with Teacher,Reason - Student Enrolled in Dual-Credit Class,Reason - Teacher Initiated Changes,Reason - ARD Meeting Recommendation,Reason - Student Did Not Meet Standard on STAAR or EOC Exams,Use of Scheduling Software,Teacher Request Prior to Schedule Build,Possible to Switch Core Classes,Notes,source_files,model,coded_date,_pathkey
Fort Bend ISD,Marshall,07/08,Not stated,,Not stated,Not stated,Y,N,9 days after start of each semester,Not stated,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Uses PowerSchool/Skyward/Ascender; schedule corrections limited to listed reasons; extracurricular moves (band, choir, athletics) require coach/program director initiation.",Fort Bend - Marshall HS Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Fort Bend ISD||Marshall HS
Fort Bend ISD,Ridge Point,07/08,Not stated,,Not stated,Not stated,Y,N,9 days after start of semester,Not stated,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Course requests submitted Jan 26-Feb 13 via SchooLinks; verification window in March (Mar 9-13) via Skyward Family Access; Master Schedule built after verification window closes; uses PowerSchool/Skyward/Ascender software.,Fort Bend - Ridge Point HS Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Fort Bend ISD||Ridge Point HS
Fort Bend ISD,Travis,07/08,Not stated,,Not stated,Not stated,Y,N,9 days after start of each semester,Not stated,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Schedule corrections limited to specific listed reasons; teacher/period customizations require documented extenuating circumstances; new course requests generally not honored after master schedule is built, except elective-to-extracurricular moves initiated by coach/director.",Fort Bend - Travis HS Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Fort Bend ISD||Travis HS
Fort Bend ISD,Willowridge,07/08,Not stated,,Not stated,Not stated,Not stated,N,9 days after start of each semester,Not stated,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Course verification window: March 9-13; schedule correction deadline is 9 days after start of each semester; master schedule built after verification window closes leaving few slots for changes,Fort Bend - Willowridge HS Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Fort Bend ISD||Willowridge HS
Frenship ISD,Frenship High School,08/06/26,Not stated,,Not stated,Not stated,Not stated,Y,5 days,Not stated,N,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Policy from HS course guide; software varies (PowerSchool, Skyward, Ascender) across counselors listed",Frenship HS - Frenship ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Frenship ISD||HS
Frenship ISD,Memorial,08/06/26,Not stated,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Memorial HS - Frenship ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Frenship ISD||Memorial HS
Friendswood ISD,Friendswood HS,"July 10, 2026; August 7, 2026",August 12,,1 day,Not stated,Not stated,N,10 days,Not stated,Y,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Elective/level changes due April 7; after that, changes limited to 4 specific reasons within first 10 days of school; teacher/lunch/period requests explicitly not accommodated",Friendswood ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Friendswood ISD||Friendswood ISD
Galena Park ISD,Galena Park HS,"July 11, 2026","August 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Galena Park ISD Data Collection - Galena Park HS.docx,claude-sonnet-5,2026-08-25,Galena Park ISD||Galena Park HS
Galena Park ISD,North Shore Senior HS,"July 11, 2026","August 12, 2026",,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Galena Park ISD Data Collection - North Shore Senior HS.docx,claude-sonnet-5,2026-08-25,Galena Park ISD||North Shore Senior HS
Galveston ISD,Ball HS,"July 10, 2026","August 10, 2026",,"2 days (schedule release Aug 8, school starts Aug 10)",Not stated,Not stated,Not stated,First week of each semester,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Multiple respondents gave inconsistent answers on software used and strictness/leniency of changes; policy limits changes to three specific accepted reasons.,Galveston ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Galveston ISD||Galveston ISD
Garland ISD,Garland HS,"July 16, 2026",August 11 (per 2025-26 calendar; not explicitly confirmed for 2026-27),,"5 days (Orientation/Meet the Teacher Aug 6, school starts Aug 11)",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Document contains repeated/duplicated columns with inconsistent answers (e.g., software use Yes/Yes/No/No, deadline strictness Lenient/Moderate/Moderate/Strict); many fields left blank in source.",Garland ISD Data Collection - Garland HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||Garland HS
Garland ISD,Lakeview Centennial HS,"July 16, 2026",August 11,,5 days,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Not stated,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Y,Change window designated at end of first grading cycle or first semester; strictness rated Lenient to Strict across different reviewers.,Garland ISD Data Collection - Lakeview Centennial HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||Lakeview Centennial HS
Garland ISD,N Garland HS,"July 16, 2026",August 11,,5 days (Aug 6 orientation before Aug 11 start),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Deadline strictness varies by respondent (Lenient/Moderate/Strict); change window tied to end of first grading cycle or first semester, with exceptions for special circumstances.",Garland ISD Data Collection - N Garland HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||N Garland HS
Garland ISD,Naaman Forest HS,"July 16, 2026",August 11,,"5 days (Orientation Aug 6, school starts Aug 11)",Not stated,Not stated,Not stated,14 days (first two weeks of school),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,N,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Course-change policy text appears sourced from a Lakeview Centennial HS (Garland ISD) schedule change policy document rather than a Naaman Forest-specific handbook; software use responses were inconsistent across columns (Yes/Yes/No/No).,Garland ISD Data Collection - Naaman Forest HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||Naaman Forest HS
Garland ISD,Rowlett HS,"July 16, 2026",August 11 (from 2025-26 calendar; 2026-27 not stated),,"5 days (Orientation Aug 6, school starts Aug 11)",Not stated,Not stated,Not stated,14 days (first two weeks of school),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,N,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Schedule changes require parent and principal permission; AP/Pre-AP to Regular moves generally not allowed except with principal approval; special circumstances (new/transfer students, master scheduling conflicts, graduating seniors missing credit) permit changes outside normal window.",Garland ISD Data Collection - Rowlett HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||Rowlett HS
Garland ISD,S Garland HS,"July 16, 2026",August 11,,6 days (Aug 5 orientation),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Deadline strictness rated Lenient/Moderate/Strict by different respondents; no specific date given. Schedule change requests handled at end of first grading cycle or first semester, with exceptions for new/transfer students, scheduling conflicts, or seniors needing graduation courses.",Garland ISD Data Collection - S Garland HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||S Garland HS
Garland ISD,Sachse HS,"July 16, 2026",Not stated,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Document is a mostly blank data-collection template; no policy prose on course-change reasons was provided.,Garland ISD Data Collection - Sachse HS.docx,claude-sonnet-5,2026-08-25,Garland ISD||Sachse HS
Giddings ISD,Giddings High School,08/06/26,Not stated,,Not stated,Not stated,Not stated,N,14 days (two weeks),Y,Y,Not stated,N,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Immediate changes considered only in first 4 days for specific reasons; case-by-case review after that; no changes considered after first two weeks of school.,Giddings ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Giddings ISD||Giddings ISD
Gilmer ISD,Gilmer HS,08/06/26,Not stated,,Not stated,Not stated,Not stated,Not stated,5 days (first five days of semester),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Schedule changes require endorsement/required courses fulfilled, schedule fit, and course availability/class size; deadline is first 5 days of semester; strictness rated variably (Lenient/Moderate/Strict) across respondents",Gilmer ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Gilmer ISD||Gilmer ISD
Glen Rose ISD,Glen Rose High School,08/06/26,"Aug 12, 2026",,"6 days (Meet the Teacher, Aug 6, 2026)",Not stated,Not stated,Not stated,5 days,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Schedule changes allowed before semester starts or within 5 days after; after 5th day, elective changes need administrator approval; advanced/honors/AP/dual credit changes go through counseling office.",Glen Rose ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Glen Rose ISD||Glen Rose ISD
Godley ISD,Godley High School,08/06/26,Not stated,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Schedule pickup staggered by grade (4 days before FDOC for seniors down to 1 day for all); no elective schedule changes allowed at start of year; changes after deadline only for unusual/extenuating circumstances; software varies by column (PowerSchool, Skyward, Ascender)",Godley ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Godley ISD||Godley ISD
Gonzales ISD,Gonzales High School,08/06/26,"Aug 12, 2026",,"1 day (Meet the Teacher, Aug 11)",Not stated,Not stated,Not stated,First three weeks of semester,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Multiple campus columns present with varying data (PowerSchool/Skyward/Ascender); core policy text is uniform across all columns and drawn from 24-25 Student Handbook.,Gonzales ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Gonzales ISD||Gonzales ISD
Granbury ISD,Granbury HS,"July 9, 2026 - August 7, 2026",August 12,,Not stated,Not stated,Not stated,N,2 weeks (around August 22),Not stated,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"School uses PowerSchool/Skyward/Ascender for scheduling; deadline strictness varies by source (Lenient to Strict); schedule changes after 5th class day require attendance, teacher conference, tutorials, and admin/counselor approval.",Granbury ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Granbury ISD||Granbury ISD
Grand Prairie ISD,Grand Prairie HS,"July 12, 2026",August 11,,Not stated,Not stated,Not stated,Not stated,10 days (per semester),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Document contains multiple, sometimes conflicting, column entries (e.g., differing software names, differing leniency ratings) likely reflecting multiple respondents or sources.",Grand Prairie Data Collection - Grand Prairie HS.docx,claude-sonnet-5,2026-08-25,Grand Prairie ISD||Grand Prairie HS
Grand Prairie ISD,South Grand Prairie HS,"July 12, 2026; August 18, 2026","August 11, 2026",,0 days (handed out on first day of school),Not stated,Not stated,N,10 days,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Y,Y,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,N,Not stated,"Teacher requests not honored due to school size (3,300+ students); Skyward auto-schedules students with manual conflict resolution before release.",Grand Prairie Data Collection - South Grand Prairie HS.docx,claude-sonnet-5,2026-08-25,Grand Prairie ISD||South Grand Prairie HS
Grandview ISD,Grandview High School,08/06/26,Not stated,,Not stated,Not stated,Not stated,N,2 days,Y,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Y,Not stated,Y,Y,Y,Y,Y,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Schedule changes generally not made after 2nd day of school without Counselor/Principal review; level-down changes deferred to start of 2nd semester unless student failing.,Grandview ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Grandview ISD||Grandview ISD
Grapevine-Colleyville ISD,Colleyville Heritage HS,"July 7, 2026",August 13,,97 days (unofficial schedules viewable May 8),Y,Y,N,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,N,Y,Not stated,Not stated,Y,Y,Not stated,Y,Y,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,N,Not stated,"Arena course selection Jan 15-31; time slots requested in April; extenuating-circumstance change window July 29-31 (before school starts); level-up allowed first 10 days of semester, level-down allowed after 9 weeks or at winter semester",Grapevine-Colleyville ISD - Colleyville Heritage HS.docx,claude-sonnet-5,2026-08-25,Grapevine-Colleyville ISD||Colleyville Heritage HS
Grapevine-Colleyville ISD,Grapevine HS,"July 8, 2026",August 13 (from 2025-26 calendar; not explicitly stated for 2026-27),,~92 days (schedules issued by May 13; school starts Aug 13),Not stated,Y,Not stated,10 days (level-up window within first 10 days of fall semester),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Y,Not stated,Not stated,Y,Y,Not stated,Y,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Y,"Two schedule change windows: mid-May (unofficial schedule, any change) and end of July (errors only, e.g., schedule holes, summer school credit, activity placement). Level-up/down rules apply per SB 1517 for Advanced/AP courses.",Grapevine-Colleyville ISD - Grapevine HS.docx,claude-sonnet-5,2026-08-25,Grapevine-Colleyville ISD||Grapevine HS
Greenville ISD,Early College,08/06/26,Not stated,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Early College HS - Greenville ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Greenville ISD||Early College HS
Greenville ISD,Greenville High School,08/06/26,Not stated,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Document is mostly an unfilled data-collection template; only scheduling software use and change-leniency ratings (Lenient/Moderate/Moderate/Strict) were provided. No policy prose on course-change reasons was included.,Greenville ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Greenville ISD||Greenville ISD
Gregory-Portland ISD,Gregory-Portland HS,"July 11, 2026",August 14,,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Gregory-Portland ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Gregory-Portland ISD||Gregory-Portland ISD
Groesbeck ISD,Groesbeck HS,"July 19, 2026; August 7, 2026",Not stated,,"6 days (schedule pick up August 7, school starts August 13)",Not stated,Not stated,Not stated,5 days,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Software use varies by column (Yes/No, PowerSchool/Skyward/Ascender); most policy questions left blank in source document.",Groesbeck ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Groesbeck ISD||Groesbeck ISD
Hale Center ISD,Hale Center HS,"July 28, 2026",August 13,,6 days (schedule pickup August 7),Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Deadline strictness ranges from Lenient to Strict across sources; multiple software answers listed (PowerSchool, Skyward, Ascender)",Hale Center ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Hale Center ISD||Hale Center ISD
Hallettsville ISD,Hallettsville,08/06/26,Not stated,,Not stated,Not stated,Not stated,Not stated,10 days,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,"Policy sourced from HS course guide link; multiple respondents gave differing answers on software (PowerSchool, Skyward, Ascender) and strictness (Lenient/Moderate/Strict); most procedural fields left blank in source doc.",Hallettsville ISD Data Collection Guide.docx,claude-sonnet-5,2026-08-25,Halletsville ISD||Hallettsville ISD
Hampshire-Fannett ISD,Hampshire-Fannett HS,"July 19, 2026",August 13,,Not stated,Not stated,Not stated,Not stated,First 2 weeks,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Hampshire-Fannett ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Hamshire-Fannett ISD||Hampshire-Fannett ISD
Hardin ISD,Hardin HS,"July 19, 2026",August 3,,About 1 week before school starts,Not stated,Not stated,N,Within the first week of the semester,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Y,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Y,N,Not stated,Uses PowerSchool/Skyward/Ascender for scheduling; counselor manually adjusts schedules before school starts to balance classes and fix graduation/summer school credit issues; teacher requests not accommodated except to correct schedule errors.,Hardin ISD Data Collection.docx,claude-sonnet-5,2026-08-25,Hardin ISD||Hardin ISD
